ratio,arm,detail,compute,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,dedup_resident,dedup_fetching,pin_broken,censored,exit_code
0.375,E,layer_order,400000,2,80,10737418240,5024508681,52,83,0,37,11945377792,11945377792,51,102,0,0,0
0.375,E,layer_order,400000,3,80,10737418240,5607684871,61,95,0,40,13555990528,13555990528,48,125,0,0,0
0.5,A,normal,n/a,1,80,10737418240,729924315,n/a,n/a,n/a,n/a,n/a,878706688,n/a,n/a,n/a,0,0
0.5,A,normal,n/a,2,80,10737418240,42189078,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.5,A,normal,n/a,3,80,10737418240,39657132,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.5,A,random,n/a,1,80,10737418240,38154448,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.5,A,random,n/a,2,80,10737418240,57146727,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.5,A,random,n/a,3,80,10737418240,37828239,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.5,A,sequential,n/a,1,80,10737418240,187196240,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.5,A,sequential,n/a,2,80,10737418240,36485576,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.5,A,sequential,n/a,3,80,10737418240,76375738,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.5,B,normal,n/a,1,80,10737418240,2222183752,n/a,n/a,n/a,n/a,n/a,8053063680,n/a,n/a,n/a,0,0
0.5,B,normal,n/a,2,80,10737418240,2490475300,n/a,n/a,n/a,n/a,n/a,10057940992,n/a,n/a,n/a,0,0
0.5,B,normal,n/a,3,80,10737418240,2509280848,n/a,n/a,n/a,n/a,n/a,10057940992,n/a,n/a,n/a,0,0
0.5,C,lru,0,1,80,10737418240,8425249772,80,72,0,0,10737418240,10737418240,77,202,0,0,0
0.5,C,lru,0,2,80,10737418240,8628489676,80,72,0,0,10737418240,10737418240,80,167,0,0,0
0.5,C,lru,0,3,80,10737418240,5126758692,80,72,0,0,10737418240,10737418240,80,173,0,0,0
0.5,D,layer_order,0,1,80,10737418240,3840229893,60,52,0,0,8053063680,8053063680,58,121,0,0,0
0.5,D,layer_order,0,2,80,10737418240,3863113799,60,52,0,0,8053063680,8053063680,58,115,0,0,0
0.5,D,layer_order,0,3,80,10737418240,3807751791,57,49,0,0,7650410496,7650410496,56,129,0,0,0
0.5,E,layer_order,0,1,80,10737418240,3780374415,49,70,0,29,10468982784,10468982784,50,126,0,0,0
0.5,E,layer_order,0,2,80,10737418240,3706803174,50,70,0,28,10468982784,10468982784,51,93,0,0,0
0.5,E,layer_order,0,3,80,10737418240,3875271588,46,72,0,34,10737418240,10737418240,53,127,0,0,0
0.5,C,lru,400000,1,80,10737418240,5893674447,80,72,0,0,10737418240,10737418240,80,32,0,0,0
0.5,C,lru,400000,2,80,10737418240,6025788165,80,72,0,0,10737418240,10737418240,79,56,0,0,0
0.5,C,lru,400000,3,80,10737418240,5910787836,80,72,0,0,10737418240,10737418240,80,39,0,0,0
0.5,D,layer_order,400000,1,80,10737418240,5718963092,84,76,0,0,11274289152,11274289152,66,114,0,0,0
0.5,D,layer_order,400000,2,80,10737418240,5812939162,79,71,0,0,10603200512,10603200512,60,108,0,0,0
0.5,D,layer_order,400000,3,80,10737418240,5616089841,84,76,0,0,11274289152,11274289152,63,114,0,0,0
0.5,E,layer_order,400000,1,80,10737418240,5021481953,56,71,0,23,10603200512,10603200512,47,89,0,0,0
0.5,E,layer_order,400000,2,80,10737418240,4607717580,45,67,0,30,10066329600,10066329600,46,68,0,0,0
0.5,E,layer_order,400000,3,80,10737418240,5579416460,54,74,0,28,11005853696,11005853696,45,89,0,0,0
0.625,A,normal,n/a,1,80,10737418240,603622138,n/a,n/a,n/a,n/a,n/a,610271232,n/a,n/a,n/a,0,0
0.625,A,normal,n/a,2,80,10737418240,132133282,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.625,A,normal,n/a,3,80,10737418240,95340449,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.625,A,random,n/a,1,80,10737418240,76108242,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.625,A,random,n/a,2,80,10737418240,63159185,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.625,A,random,n/a,3,80,10737418240,74662693,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.625,A,sequential,n/a,1,80,10737418240,72576099,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.625,A,sequential,n/a,2,80,10737418240,73207484,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.625,A,sequential,n/a,3,80,10737418240,38788208,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.625,B,normal,n/a,1,80,10737418240,2009566767,n/a,n/a,n/a,n/a,n/a,8053063680,n/a,n/a,n/a,0,0
0.625,B,normal,n/a,2,80,10737418240,2756045940,n/a,n/a,n/a,n/a,n/a,10057940992,n/a,n/a,n/a,0,0
0.625,B,normal,n/a,3,80,10737418240,2842412232,n/a,n/a,n/a,n/a,n/a,10057940992,n/a,n/a,n/a,0,0
0.625,C,lru,0,1,80,10737418240,6107135757,80,70,0,0,10737418240,10737418240,79,117,0,0,0
0.625,C,lru,0,2,80,10737418240,5267637207,80,70,0,0,10737418240,10737418240,80,177,0,0,0
0.625,C,lru,0,3,80,10737418240,5799220187,80,70,0,0,10737418240,10737418240,78,216,0,0,0
0.625,D,layer_order,0,1,80,10737418240,3576250442,51,41,0,0,6845104128,6845104128,50,95,0,0,0
0.625,D,layer_order,0,2,80,10737418240,3471315558,51,41,0,0,6845104128,6845104128,50,100,0,0,0
0.625,D,layer_order,0,1,80,10737418240,4401846535,52,42,0,0,6979321856,6979321856,50,103,0,0,0
0.625,D,layer_order,0,2,80,10737418240,3729581383,51,41,0,0,6845104128,6845104128,51,93,0,0,0
0.625,D,layer_order,0,3,80,10737418240,3794649548,52,42,0,0,6979321856,6979321856,51,108,0,0,0
0.625,E,layer_order,0,1,80,10737418240,3622514137,42,54,0,22,8589934592,8589934592,47,95,0,0,0
0.625,E,layer_order,0,2,80,10737418240,3440079420,42,54,0,22,8589934592,8589934592,48,93,0,0,0
0.625,E,layer_order,0,3,80,10737418240,3491968930,41,53,0,22,8455716864,8455716864,50,109,0,0,0
0.625,C,lru,400000,1,80,10737418240,6252895335,80,70,0,0,10737418240,10737418240,79,57,0,0,0
0.625,C,lru,400000,1,80,10737418240,6465474949,80,70,0,0,10737418240,10737418240,79,46,0,0,0
0.625,C,lru,400000,2,80,10737418240,6653569603,80,70,0,0,10737418240,10737418240,80,43,0,0,0
0.625,C,lru,400000,3,80,10737418240,6593944317,80,70,0,0,10737418240,10737418240,79,57,0,0,0
0.625,D,layer_order,400000,1,80,10737418240,5163070672,68,58,0,0,9126805504,9126805504,52,96,0,0,0
0.625,D,layer_order,400000,1,80,10737418240,5102788798,59,49,0,0,7918845952,7918845952,51,62,0,0,0
0.625,D,layer_order,400000,2,80,10737418240,4749584133,60,50,0,0,8053063680,8053063680,51,76,0,0,0
0.625,D,layer_order,400000,3,80,10737418240,4853118979,63,53,0,0,8455716864,8455716864,52,71,0,0,0
0.625,E,layer_order,400000,1,80,10737418240,4359499752,44,56,0,22,8858370048,8858370048,44,60,0,0,0
0.625,E,layer_order,400000,2,80,10737418240,4962256323,51,63,0,22,9797894144,9797894144,48,75,0,0,0
0.625,E,layer_order,400000,3,80,10737418240,4692119363,49,62,0,23,9663676416,9663676416,48,63,0,0,0
0.75,A,normal,n/a,1,80,10737418240,2955027973,n/a,n/a,n/a,n/a,n/a,341835776,n/a,n/a,n/a,0,0
0.75,A,normal,n/a,2,80,10737418240,38529630,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.75,A,normal,n/a,3,80,10737418240,39290602,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.75,A,random,n/a,1,80,10737418240,38230291,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.75,A,random,n/a,2,80,10737418240,37416739,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.75,A,random,n/a,3,80,10737418240,46812987,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.75,A,sequential,n/a,1,80,10737418240,39138330,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.75,A,sequential,n/a,2,80,10737418240,37149902,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.75,A,sequential,n/a,3,80,10737418240,38228012,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
0.75,B,normal,n/a,1,80,10737418240,2432070304,n/a,n/a,n/a,n/a,n/a,8053063680,n/a,n/a,n/a,0,0
0.75,B,normal,n/a,2,80,10737418240,2890084745,n/a,n/a,n/a,n/a,n/a,10057940992,n/a,n/a,n/a,0,0
0.75,B,normal,n/a,3,80,10737418240,3095162485,n/a,n/a,n/a,n/a,n/a,10057940992,n/a,n/a,n/a,0,0
0.75,C,lru,0,1,80,10737418240,7654393696,80,68,0,0,10737418240,10737418240,79,154,0,0,0
0.75,C,lru,0,2,80,10737418240,6958490663,80,68,0,0,10737418240,10737418240,79,165,0,0,0
0.75,C,lru,0,1,80,10737418240,6356047513,80,68,0,0,10737418240,10737418240,79,144,0,0,0
0.75,C,lru,0,2,80,10737418240,6592149410,80,68,0,0,10737418240,10737418240,77,147,0,0,0
0.75,C,lru,0,3,80,10737418240,6136343759,80,68,0,0,10737418240,10737418240,80,150,0,0,0
0.75,D,layer_order,0,1,80,10737418240,2933203843,41,29,0,0,5502926848,5502926848,41,70,0,0,0
0.75,D,layer_order,0,2,80,10737418240,3216562313,41,29,0,0,5502926848,5502926848,40,68,0,0,0
0.75,D,layer_order,0,3,80,10737418240,2757778097,41,29,0,0,5502926848,5502926848,41,93,0,0,0
0.75,E,layer_order,0,1,80,10737418240,3243496735,33,31,0,10,5771362304,5771362304,39,67,0,0,0
0.75,E,layer_order,0,2,80,10737418240,2934726934,31,32,0,13,5905580032,5905580032,36,82,0,0,0
0.75,E,layer_order,0,3,80,10737418240,2752801134,35,34,0,11,6174015488,6174015488,42,86,0,0,0
0.75,C,lru,400000,1,80,10737418240,6483751633,80,68,0,0,10737418240,10737418240,79,55,0,0,0
0.75,C,lru,400000,2,80,10737418240,6240898071,80,68,0,0,10737418240,10737418240,80,43,0,0,0
0.75,C,lru,400000,3,80,10737418240,6625959629,80,68,0,0,10737418240,10737418240,79,58,0,0,0
0.75,D,layer_order,400000,1,80,10737418240,5435932225,56,44,0,0,7516192768,7516192768,47,55,0,0,0
0.75,D,layer_order,400000,2,80,10737418240,4534085571,53,41,0,0,7113539584,7113539584,44,42,0,0,0
0.75,D,layer_order,400000,3,80,10737418240,4572866107,56,44,0,0,7516192768,7516192768,44,57,0,0,0
0.75,E,layer_order,400000,1,80,10737418240,4084321745,35,35,0,12,6308233216,6308233216,38,38,0,0,0
0.75,E,layer_order,400000,2,80,10737418240,4166231712,36,35,0,11,6308233216,6308233216,40,36,0,0,0
0.75,E,layer_order,400000,3,80,10737418240,4237363437,36,35,0,11,6308233216,6308233216,39,29,0,0,0
