chunk_size,ratio,arm,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,dedup_resident,dedup_fetching,pin_broken,rc
8388608,0.25,D,1,1280,10737418240,8703109602,1460,1396,0,0,12247367680,12247367680,1012,3085,0,0
8388608,0.25,D,2,1280,10737418240,8110391100,1415,1351,0,0,11869880320,11869880320,1053,2640,0,0
8388608,0.25,D,3,1280,10737418240,7388830265,1334,1270,0,0,11190403072,11190403072,1059,2311,0,0
8388608,0.25,E,1,1280,10737418240,5974592120,792,1256,0,528,11072962560,11072962560,760,1694,0,0
8388608,0.25,E,2,1280,10737418240,6064798207,800,1303,0,567,11467227136,11467227136,790,1883,0,0
8388608,0.25,E,3,1280,10737418240,5938960409,778,1211,0,497,10695475200,10695475200,740,1703,0,0
8388608,0.5,A,1,1280,10737418240,2558081306,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
8388608,0.5,A,2,1280,10737418240,2625501837,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
8388608,0.5,A,3,1280,10737418240,2512633273,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
8388608,0.5,B,1,1280,10737418240,2680834737,n/a,n/a,n/a,n/a,n/a,10695475200,n/a,n/a,n/a,0
8388608,0.5,B,2,1280,10737418240,2633242119,n/a,n/a,n/a,n/a,n/a,10695475200,n/a,n/a,n/a,0
8388608,0.5,B,3,1280,10737418240,2630588836,n/a,n/a,n/a,n/a,n/a,10695475200,n/a,n/a,n/a,0
8388608,0.5,C,1,1280,10737418240,8939448922,1280,1152,0,0,10737418240,10737418240,1277,2320,0,0
8388608,0.5,C,2,1280,10737418240,8044651378,1280,1152,0,0,10737418240,10737418240,1279,2217,0,0
8388608,0.5,C,3,1280,10737418240,8111718033,1280,1152,0,0,10737418240,10737418240,1279,2054,0,0
8388608,0.5,D,1,1280,10737418240,7524441299,1113,985,0,0,9336520704,9336520704,853,2401,0,0
8388608,0.5,D,2,1280,10737418240,6957450807,1106,978,0,0,9277800448,9277800448,855,2231,0,0
8388608,0.5,D,3,1280,10737418240,7393389081,1096,968,0,0,9193914368,9193914368,853,2172,0,0
8388608,0.5,E,1,1280,10737418240,5026442408,512,748,0,364,7348420608,7348420608,690,963,0,0
8388608,0.5,E,2,1280,10737418240,5800881940,642,955,0,441,9084862464,9084862464,714,1486,0,0
8388608,0.5,E,3,1280,10737418240,5460706190,638,970,0,460,9210691584,9210691584,704,1494,0,0
8388608,0.75,A,1,1280,10737418240,4045137340,n/a,n/a,n/a,n/a,n/a,10737188864,n/a,n/a,n/a,0
8388608,0.75,A,2,1280,10737418240,3642818305,n/a,n/a,n/a,n/a,n/a,10737299456,n/a,n/a,n/a,0
8388608,0.75,A,3,1280,10737418240,3378431577,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
8388608,0.75,B,1,1280,10737418240,2681998067,n/a,n/a,n/a,n/a,n/a,10695475200,n/a,n/a,n/a,0
8388608,0.75,B,2,1280,10737418240,2692288466,n/a,n/a,n/a,n/a,n/a,10695475200,n/a,n/a,n/a,0
8388608,0.75,B,3,1280,10737418240,2725878050,n/a,n/a,n/a,n/a,n/a,10695475200,n/a,n/a,n/a,0
8388608,0.75,C,1,1280,10737418240,9668503921,1280,1088,0,0,10737418240,10737418240,1276,2185,0,0
8388608,0.75,C,2,1280,10737418240,8842247139,1280,1088,0,0,10737418240,10737418240,1276,2129,0,0
8388608,0.75,C,3,1280,10737418240,8718642420,1280,1088,0,0,10737418240,10737418240,1275,2122,0,0
8388608,0.75,D,1,1280,10737418240,5248297744,681,489,0,0,5712642048,5712642048,596,1289,0,0
8388608,0.75,D,2,1280,10737418240,4591201360,673,481,0,0,5645533184,5645533184,590,1149,0,0
8388608,0.75,D,3,1280,10737418240,4842996717,694,502,0,0,5821693952,5821693952,592,1446,0,0
8388608,0.75,E,1,1280,10737418240,3977907284,427,420,0,185,5133828096,5133828096,479,879,0,0
8388608,0.75,E,2,1280,10737418240,4374174372,447,449,0,194,5377097728,5377097728,490,934,0,0
8388608,0.75,E,3,1280,10737418240,4136627853,446,461,0,207,5477761024,5477761024,484,1012,0,0
16777216,0.25,A,1,640,10737418240,2739221651,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
16777216,0.25,A,2,640,10737418240,2568051003,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
16777216,0.25,A,3,640,10737418240,2654792688,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
16777216,0.25,B,1,640,10737418240,2296481462,n/a,n/a,n/a,n/a,n/a,10661920768,n/a,n/a,n/a,0
16777216,0.25,B,2,640,10737418240,2434595799,n/a,n/a,n/a,n/a,n/a,10661920768,n/a,n/a,n/a,0
16777216,0.25,B,3,640,10737418240,2278559694,n/a,n/a,n/a,n/a,n/a,10661920768,n/a,n/a,n/a,0
16777216,0.25,C,1,640,10737418240,7297693405,640,608,0,0,10737418240,10737446912,636,1083,0,0
16777216,0.25,C,2,640,10737418240,6847381134,640,608,0,0,10737418240,10737418240,639,1037,0,0
16777216,0.25,C,3,640,10737418240,6748032613,640,608,0,0,10737418240,10737418240,640,1121,0,0
16777216,0.25,D,1,640,10737418240,7097680435,724,692,0,0,12146704384,12146704384,521,1476,0,0
16777216,0.25,D,2,640,10737418240,7147221349,723,691,0,0,12129927168,12129927168,519,1514,0,0
16777216,0.25,D,3,640,10737418240,7005352333,709,677,0,0,11895046144,11895046144,496,1521,0,0
16777216,0.25,E,1,640,10737418240,5738478432,419,643,0,256,11324620800,11324620800,373,1075,0,0
16777216,0.25,E,2,640,10737418240,5826096894,408,648,0,272,11408506880,11408506880,393,976,0,0
16777216,0.25,E,3,640,10737418240,5702345895,407,634,0,259,11173625856,11173625856,370,1016,0,0
16777216,0.5,A,1,640,10737418240,7347074080,n/a,n/a,n/a,n/a,n/a,10737389568,n/a,n/a,n/a,0
16777216,0.5,A,2,640,10737418240,3511501873,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
16777216,0.5,A,3,640,10737418240,3322575634,n/a,n/a,n/a,n/a,n/a,10737369088,n/a,n/a,n/a,0
16777216,0.5,B,1,640,10737418240,3344747393,n/a,n/a,n/a,n/a,n/a,10661920768,n/a,n/a,n/a,0
16777216,0.5,B,2,640,10737418240,3169925480,n/a,n/a,n/a,n/a,n/a,10661920768,n/a,n/a,n/a,0
16777216,0.5,B,3,640,10737418240,3038935660,n/a,n/a,n/a,n/a,n/a,10661920768,n/a,n/a,n/a,0
16777216,0.5,C,1,640,10737418240,7019058997,640,576,0,0,10737418240,10737418240,639,999,0,0
16777216,0.5,C,2,640,10737418240,7132835831,640,576,0,0,10737418240,10737418240,639,954,0,0
16777216,0.5,C,3,640,10737418240,6938156972,640,576,0,0,10737418240,10737418240,640,1055,0,0
16777216,0.5,D,1,640,10737418240,6190493329,545,481,0,0,9143582720,9143582720,424,1061,0,0
16777216,0.5,D,2,640,10737418240,6087726526,559,495,0,0,9378463744,9378463744,446,1073,0,0
16777216,0.5,D,3,640,10737418240,5852173487,556,492,0,0,9328132096,9328132096,430,1093,0,0
16777216,0.5,E,1,640,10737418240,4940464801,281,392,0,175,7650410496,7650410496,342,548,0,0
16777216,0.5,E,2,640,10737418240,5426431661,331,499,0,232,9445572608,9445572608,348,800,0,0
16777216,0.5,E,3,640,10737418240,4911516725,306,463,0,221,8841592832,8841592832,358,765,0,0
16777216,0.75,A,1,640,10737418240,4317776516,n/a,n/a,n/a,n/a,n/a,10737254400,n/a,n/a,n/a,0
16777216,0.75,A,2,640,10737418240,3414172563,n/a,n/a,n/a,n/a,n/a,10737389568,n/a,n/a,n/a,0
16777216,0.75,A,3,640,10737418240,3273016735,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
16777216,0.75,B,1,640,10737418240,3045549069,n/a,n/a,n/a,n/a,n/a,10661920768,n/a,n/a,n/a,0
16777216,0.75,B,2,640,10737418240,3304401966,n/a,n/a,n/a,n/a,n/a,10661920768,n/a,n/a,n/a,0
16777216,0.75,B,3,640,10737418240,3252809961,n/a,n/a,n/a,n/a,n/a,10661920768,n/a,n/a,n/a,0
16777216,0.75,C,1,640,10737418240,11377898835,640,544,0,0,10737418240,10737455104,639,1067,0,0
16777216,0.75,C,2,640,10737418240,8143271261,640,544,0,0,10737418240,10737418240,639,1126,0,0
16777216,0.75,C,3,640,10737418240,7957265729,640,544,0,0,10737418240,10737418240,640,1018,0,0
16777216,0.75,D,1,640,10737418240,4613474279,336,240,0,0,5637144576,5637144576,292,621,0,0
16777216,0.75,D,2,640,10737418240,5375432673,351,255,0,0,5888802816,5888802816,302,713,0,0
16777216,0.75,D,3,640,10737418240,5638363135,349,253,0,0,5855248384,5855248384,288,751,0,0
16777216,0.75,E,1,640,10737418240,4049206456,224,220,0,92,5301600256,5301600256,242,433,0,0
16777216,0.75,E,2,640,10737418240,4199941460,236,247,0,107,5754585088,5754585088,238,482,0,0
16777216,0.75,E,3,640,10737418240,3784966318,213,211,0,94,5150605312,5150605312,236,427,0,0
33554432,0.25,A,1,320,10737418240,2686124134,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
33554432,0.25,A,2,320,10737418240,2566327470,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
33554432,0.25,A,3,320,10737418240,2624213620,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
33554432,0.25,B,1,320,10737418240,3051306093,n/a,n/a,n/a,n/a,n/a,10594811904,n/a,n/a,n/a,0
33554432,0.25,B,2,320,10737418240,2684942708,n/a,n/a,n/a,n/a,n/a,10594811904,n/a,n/a,n/a,0
33554432,0.25,B,3,320,10737418240,2714280462,n/a,n/a,n/a,n/a,n/a,10594811904,n/a,n/a,n/a,0
33554432,0.25,C,1,320,10737418240,6320769371,320,304,0,0,10737418240,10737455104,320,425,0,0
33554432,0.25,C,2,320,10737418240,5785511787,320,304,0,0,10737418240,10737418240,320,451,0,0
33554432,0.25,C,3,320,10737418240,5760618675,320,304,0,0,10737418240,10737418240,320,473,0,0
33554432,0.25,D,1,320,10737418240,6472008051,352,336,0,0,11811160064,11811160064,254,670,0,0
33554432,0.25,D,2,320,10737418240,7112107418,374,358,0,0,12549357568,12549357568,244,806,0,0
33554432,0.25,D,3,320,10737418240,7072512888,365,349,0,0,12247367680,12247367680,243,777,0,0
33554432,0.25,E,1,320,10737418240,5841422250,227,349,0,138,12247367680,12247367680,182,531,0,0
33554432,0.25,E,2,320,10737418240,5651751140,210,338,0,144,11878268928,11878268928,192,557,0,0
33554432,0.25,E,3,320,10737418240,5906251922,225,348,0,139,12213813248,12213813248,178,538,0,0
33554432,0.5,A,1,320,10737418240,3947696670,n/a,n/a,n/a,n/a,n/a,10737389568,n/a,n/a,n/a,0
33554432,0.5,A,2,320,10737418240,3346062603,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
33554432,0.5,A,3,320,10737418240,3396653892,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
33554432,0.5,B,1,320,10737418240,3172645038,n/a,n/a,n/a,n/a,n/a,10594811904,n/a,n/a,n/a,0
33554432,0.5,B,2,320,10737418240,2972052086,n/a,n/a,n/a,n/a,n/a,10594811904,n/a,n/a,n/a,0
33554432,0.5,B,3,320,10737418240,2714379567,n/a,n/a,n/a,n/a,n/a,10594811904,n/a,n/a,n/a,0
33554432,0.5,C,1,320,10737418240,7769810831,320,288,0,0,10737418240,10737459200,320,439,0,0
33554432,0.5,C,2,320,10737418240,7268695223,320,288,0,0,10737418240,10737418240,319,501,0,0
33554432,0.5,C,3,320,10737418240,6987670682,320,288,0,0,10737418240,10737418240,319,514,0,0
33554432,0.5,D,1,320,10737418240,5577021393,276,244,0,0,9261023232,9261023232,213,569,0,0
33554432,0.5,D,2,320,10737418240,5825040886,289,257,0,0,9697230848,9697230848,220,580,0,0
33554432,0.5,D,3,320,10737418240,5466297491,288,256,0,0,9663676416,9663676416,220,555,0,0
33554432,0.5,E,1,320,10737418240,4521702985,161,218,0,89,8388608000,8388608000,183,314,0,0
33554432,0.5,E,2,320,10737418240,4321015918,149,213,0,96,8220835840,8220835840,182,274,0,0
33554432,0.5,E,3,320,10737418240,4640014437,154,219,0,97,8422162432,8422162432,179,326,0,0
33554432,0.75,A,1,320,10737418240,3947208787,n/a,n/a,n/a,n/a,n/a,10737455104,n/a,n/a,n/a,0
33554432,0.75,A,2,320,10737418240,3043497113,n/a,n/a,n/a,n/a,n/a,10737324032,n/a,n/a,n/a,0
33554432,0.75,A,3,320,10737418240,2932405489,n/a,n/a,n/a,n/a,n/a,10737348608,n/a,n/a,n/a,0
33554432,0.75,B,1,320,10737418240,2660502027,n/a,n/a,n/a,n/a,n/a,10594811904,n/a,n/a,n/a,0
33554432,0.75,B,2,320,10737418240,2751310714,n/a,n/a,n/a,n/a,n/a,10594811904,n/a,n/a,n/a,0
33554432,0.75,B,3,320,10737418240,3012692480,n/a,n/a,n/a,n/a,n/a,10594811904,n/a,n/a,n/a,0
33554432,0.75,C,1,320,10737418240,7319163310,320,272,0,0,10737418240,10737422336,320,448,0,0
33554432,0.75,C,2,320,10737418240,6757073356,320,272,0,0,10737418240,10737418240,320,563,0,0
33554432,0.75,C,3,320,10737418240,7454598671,320,272,0,0,10737418240,10737418240,319,528,0,0
4194304,0.25,D,3,2560,10737418240,10692683914,2854,2726,0,0,11970543616,11970543616,2140,5822,0,0
33554432,0.75,D,1,320,10737418240,4814019209,172,124,0,0,5771362304,5771362304,143,359,0,0
33554432,0.75,D,2,320,10737418240,4230090970,171,123,0,0,5737807872,5737807872,147,305,0,0
33554432,0.75,D,3,320,10737418240,4351100613,173,125,0,0,5804916736,5804916736,152,329,0,0
33554432,0.75,E,1,320,10737418240,4520996872,129,158,0,77,6912212992,6912212992,149,259,0,0
33554432,0.75,E,2,320,10737418240,3835672000,129,131,0,50,6006243328,6006243328,133,256,0,0
33554432,0.75,E,3,320,10737418240,3687486913,122,133,0,59,6073352192,6073352192,130,238,0,0
